created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Jan 28 13:28:27 +0000 2024;1751598112148516933;"Nanti mau idn live?";4;253;70;5726;in;1586992742093103104;1751598112148516933;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1751598112148516933
Sat Jan 27 09:12:23 +0000 2024;1751171282597818834;"Gais";3;173;65;5353;lt;1586992742093103104;1751171282597818834;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1751171282597818834
Sat Jan 27 09:12:20 +0000 2024;1751171267540263292;"Apaaaaaaaa";13;131;66;5987;und;1586992742093103104;1751171267540263292;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1751171267540263292
Fri Jan 26 16:15:05 +0000 2024;1750915268585623806;"TFTTTTT🫶🏻😻 https://t.co/hHB1LoIBmd";8;114;432;10114;und;1586992742093103104;1750915268585623806;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1750915268585623806
Fri Jan 26 16:11:51 +0000 2024;1750914457629503999;"Hallo jugaa😉";4;83;65;5364;in;1586992742093103104;1750914457629503999;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1750914457629503999
Thu Jan 25 16:43:58 +0000 2024;1750560151365652685;"See u maksutnya😺";2;51;53;4526;in;1586992742093103104;1750560151365652685;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1750560151365652685
Thu Jan 25 16:42:58 +0000 2024;1750559899439054864;"Seeee aitakatttaaaaaa💗🫵🏻";3;37;50;4381;et;1586992742093103104;1750559899439054864;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1750559899439054864
Thu Jan 25 16:35:22 +0000 2024;1750557987515830729;"Thank u buat 600K di tik toknya keti 💗💗";2;74;70;4994;in;1586992742093103104;1750557987515830729;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1750557987515830729
Thu Jan 25 16:11:32 +0000 2024;1750551987677175915;"Cici 🫶🏻🫶🏻";1;52;307;11224;it;1586992742093103104;1750551987677175915;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1750551987677175915
Thu Jan 25 15:50:38 +0000 2024;1750546727537684876;"TFTTTT https://t.co/DYJfFKHb2R";16;159;842;14544;und;1586992742093103104;1750546727537684876;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1750546727537684876
Thu Jan 25 07:58:20 +0000 2024;1750427872819605572;"See u RKJ 🫶🏻";3;71;52;5347;no;1586992742093103104;1750427872819605572;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1750427872819605572
Wed Jan 24 16:44:38 +0000 2024;1750197929368019097;"Besok RKJ  engggaaa???";5;101;61;5613;no;1586992742093103104;1750197929368019097;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1750197929368019097
Wed Jan 24 11:02:42 +0000 2024;1750111882080661797;"Hehe";7;152;73;5448;tl;1586992742093103104;1750111882080661797;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1750111882080661797
Wed Jan 24 08:53:01 +0000 2024;1750079243915280662;"https://t.co/Fdz0BpjCmw";0;59;93;4231;zxx;1586992742093103104;1750079243915280662;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1750079243915280662
Tue Jan 23 08:06:19 +0000 2024;1749705106340376639;"https://t.co/lVe1sXkxzA";1;51;85;3893;zxx;1586992742093103104;1749705106340376639;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1749705106340376639
Tue Jan 23 07:44:35 +0000 2024;1749699633117643238;"Ror https://t.co/yarAmEzO0W";3;118;121;6680;und;1586992742093103104;1749699633117643238;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1749699633117643238
Tue Jan 23 05:57:57 +0000 2024;1749672800640741834;"Semangat ka dena😻😻😻";2;34;43;4303;in;1586992742093103104;1749672800640741834;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1749672800640741834
Tue Jan 23 05:56:46 +0000 2024;1749672502350209407;"Gais jadiii";3;141;46;4939;in;1586992742093103104;1749672502350209407;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1749672502350209407
Tue Jan 23 05:56:26 +0000 2024;1749672418669662329;"Seee uuu yaaaaa";2;51;37;4047;tr;1586992742093103104;1749672418669662329;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1749672418669662329
Tue Jan 23 05:56:07 +0000 2024;1749672338608865625;"Waw waw waw";1;17;39;3380;tl;1586992742093103104;1749672338608865625;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1749672338608865625
Tue Jan 23 05:55:51 +0000 2024;1749672272053534929;"Waw waw waw";2;54;44;3871;tl;1586992742093103104;1749672272053534929;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1749672272053534929
Mon Jan 22 15:57:27 +0000 2024;1749461280409502044;"Gais";5;249;73;5668;lt;1586992742093103104;1749461280409502044;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1749461280409502044
